com.samsung.shealth.food_frequent,6302031,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.99,2023-07-14 21:57:13.972,2023-07-14 21:57:13.972,0.99,0.99,0.99,KKMhhPrdKR,com.sec.android.app.shealth,0.99,6ee12a0b-fe7f-4c75-b5a7-973363b6521a,a3bdcce1-7edb-4d86-8ecd-a1198c3fdd41,0.99,
0.95,2023-07-14 21:57:13.972,2023-07-14 21:57:13.972,0.95,0.95,0.95,KKMhhPrdKR,com.sec.android.app.shealth,0.95,a756c496-7613-48cd-96eb-5949f4c73ffd,62c14594-e67d-466d-8a72-5eca6652e8ac,0.95,
0.91,2023-07-14 21:57:13.972,2023-07-14 21:57:13.972,0.91,0.91,0.91,KKMhhPrdKR,com.sec.android.app.shealth,0.91,8f2596d9-3d07-4769-b74a-3415d943cec1,d3731990-5168-41aa-99be-fc5e7d611c47,0.91,
0.75,2023-07-14 21:57:13.972,2023-07-14 21:57:13.972,0.75,0.75,0.75,KKMhhPrdKR,com.sec.android.app.shealth,0.75,2c4f32c3-dade-4a3f-b6d8-be9c3593c114,b3ee4c53-ec62-412e-b752-2ed48453d375,0.75,
0.71,2023-07-14 21:57:13.972,2023-07-14 21:57:13.972,0.71,0.71,0.71,KKMhhPrdKR,com.sec.android.app.shealth,0.71,03e9f649-0291-457f-a23a-029c22564cb2,e98e2b83-0b6a-4ba6-b0cf-497c4c14a26c,0.71,
0.67,2023-07-14 21:57:13.972,2023-07-14 21:57:13.972,0.67,0.67,0.67,KKMhhPrdKR,com.sec.android.app.shealth,0.67,b832aef5-f5fe-4234-9db5-0490ba5448e8,afe21de4-529d-401b-8db5-1d6b056d3216,0.67,
0.87,2023-07-14 21:57:13.972,2023-07-14 21:57:13.972,0.87,0.87,0.87,KKMhhPrdKR,com.sec.android.app.shealth,0.87,704183e1-07b4-49b1-80ee-b7facb5c5769,dccbaf6f-86a4-4b7d-90e1-707101ab84df,0.87,
0.83,2023-07-14 21:57:13.972,2023-07-14 21:57:13.972,0.83,0.83,0.83,KKMhhPrdKR,com.sec.android.app.shealth,0.83,59dea259-baf1-477d-85e9-42d48a1c1b7f,5c1cca4b-2263-46de-b257-b273cf34a240,0.83,
0.79,2023-07-14 21:57:13.972,2023-07-14 21:57:13.972,0.79,0.79,0.79,KKMhhPrdKR,com.sec.android.app.shealth,0.79,9275da0a-ee49-4411-b362-49dbe2c5fef9,c3630076-8b0c-4f3d-9818-d816c5e7ceda,0.79,
0.63,2023-07-14 21:57:13.972,2023-07-14 21:57:13.972,0.63,0.63,0.63,KKMhhPrdKR,com.sec.android.app.shealth,0.63,4b4a1f61-1ce3-43fa-a415-1e0b7fda356f,a1a3361d-60df-45e7-858a-187f65581016,0.63,
0.95,2020-09-30 06:35:13.973,2020-09-30 06:35:13.973,0.95,0.95,0.95,JFkyYd2pC4,com.sec.android.app.shealth,0.95,236db591-a4a5-4d76-89c4-59bfe0a2bf13,694b5a32-c029-4a38-9d07-a34ae0e80784,0.95,
0.83,2020-09-30 06:35:13.975,2020-09-30 06:35:13.975,0.83,0.83,0.83,JFkyYd2pC4,com.sec.android.app.shealth,0.83,03141b71-5a00-478d-bafd-193af9188314,f8d0bda1-c358-406a-bd8d-f6baad3f2038,0.83,
0.63,2020-09-30 06:35:13.977,2020-09-30 06:35:13.977,0.63,0.63,0.63,JFkyYd2pC4,com.sec.android.app.shealth,0.63,a3a8df39-8762-420c-8e54-0a64df76bc18,cbb8aae2-43c5-43a7-b214-8c686f3d7702,0.63,
0.67,2020-09-30 06:35:13.976,2020-09-30 06:35:13.976,0.67,0.67,0.67,JFkyYd2pC4,com.sec.android.app.shealth,0.67,0e128b95-1c47-4f08-8dbf-3265e2c03484,c1e6fc18-fc94-4d98-8069-9788667b2f39,0.67,
0.75,2020-09-30 06:35:13.975,2020-09-30 06:35:13.975,0.75,0.75,0.75,JFkyYd2pC4,com.sec.android.app.shealth,0.75,ab630a4d-9318-4c77-acfe-b414f48f56b1,eca79e75-694a-419a-a0fd-5e24b02649a3,0.75,
0.99,2020-09-30 06:35:13.973,2020-09-30 06:35:13.973,0.99,0.99,0.99,JFkyYd2pC4,com.sec.android.app.shealth,0.99,68f3b0d7-0e01-460d-be9d-63fc8b743dc1,a2e3fbf7-17ba-4773-991f-c8c575ca7616,0.99,
0.71,2020-09-30 06:35:13.976,2020-09-30 06:35:13.976,0.71,0.71,0.71,JFkyYd2pC4,com.sec.android.app.shealth,0.71,954dc121-ab37-4691-b200-b4da03a2646f,c243ee28-2e67-4691-9278-b07e7e47ca9e,0.71,
0.79,2020-09-30 06:35:13.975,2020-09-30 06:35:13.975,0.79,0.79,0.79,JFkyYd2pC4,com.sec.android.app.shealth,0.79,133d72e4-4d5c-499f-b9ba-8c8568e0aed6,08a4947a-a41a-4e19-82ac-051a45fe2bf2,0.79,
0.91,2020-09-30 06:35:13.974,2020-09-30 06:35:13.974,0.91,0.91,0.91,JFkyYd2pC4,com.sec.android.app.shealth,0.91,6e160822-03e7-44e0-b00c-0e4414762011,a1e23baa-7c88-466a-8f04-10db56810afd,0.91,
0.87,2020-09-30 06:35:13.974,2020-09-30 06:35:13.974,0.87,0.87,0.87,JFkyYd2pC4,com.sec.android.app.shealth,0.87,37dc4d38-ba6c-4ec9-b0b4-120824be6b2d,e16310a3-d812-4f07-a3c3-d972a88d907d,0.87,
